Cumulative Weeks,Date,Year,Week,Percent of Deaths Due to Pneumonia and Influenza (P&I),"Percent of Deaths Due to Pneumonia, Influenza or COVID-19 (PIC)",Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths,COVID-19 Deaths,"Pneumonia, Influenza or COVID-19 Deaths (PIC)"
1,2009.77,2009,40,7.83,7.83,7.23,7.51,46412,3484,149,0,
2,2009.79,2009,41,8.35,8.35,7.32,7.59,46453,3703,174,0,
3,2009.80,2009,42,8.60,8.60,7.42,7.69,47451,3841,239,0,
4,2009.82,2009,43,8.74,8.74,7.52,7.79,46432,3762,295,0,
5,2009.84,2009,44,8.77,8.77,7.62,7.89,47372,3858,298,0,
6,2009.86,2009,45,8.86,8.86,7.73,8.00,47314,3929,265,0,
7,2009.88,2009,46,8.44,8.44,7.83,8.10,46527,3721,208,0,
8,2009.90,2009,47,8.26,8.26,7.94,8.21,46422,3655,179,0,
9,2009.92,2009,48,8.17,8.17,8.04,8.31,47806,3779,126,0,
10,2009.94,2009,49,8.29,8.29,8.14,8.41,49304,3982,105,0,
11,2009.96,2009,50,8.29,8.29,8.23,8.50,49099,3985,84,0,
12,2009.98,2009,51,7.94,7.94,8.32,8.59,49105,3838,63,0,
13,2010.00,2009,52,8.78,8.78,8.39,8.67,49617,4310,47,0,
14,2010.02,2010,1,8.75,8.75,8.46,8.73,51018,4428,37,0,
15,2010.04,2010,2,8.80,8.80,8.52,8.79,51275,4471,39,0,
16,2010.06,2010,3,8.70,8.70,8.57,8.84,49912,4314,28,0,
17,2010.08,2010,4,8.47,8.47,8.60,8.87,48443,4072,29,0,
18,2010.10,2010,5,8.38,8.38,8.62,8.89,49079,4085,27,0,
19,2010.11,2010,6,8.31,8.31,8.63,8.90,50120,4128,38,0,
20,2010.13,2010,7,8.44,8.44,8.63,8.90,50484,4236,23,0,
21,2010.15,2010,8,8.61,8.61,8.61,8.88,50193,4291,30,0,
22,2010.17,2010,9,8.68,8.68,8.58,8.86,50345,4342,28,0,
23,2010.19,2010,10,8.78,8.78,8.54,8.81,50219,4377,30,0,
24,2010.21,2010,11,8.66,8.66,8.49,8.76,49270,4236,29,0,
25,2010.23,2010,12,8.50,8.50,8.43,8.70,48294,4081,25,0,
26,2010.25,2010,13,8.23,8.23,8.35,8.62,48795,3986,28,0,
27,2010.27,2010,14,8.37,8.37,8.27,8.54,47769,3983,14,0,
